date,open,high,low,close,volume
2024-01-02 09:30:00,250.08,250.9,249.52,249.94,1239423
2024-01-02 09:31:00,250.0,250.15,248.83,249.15,616080
2024-01-02 09:32:00,249.1759,249.5,248.94,249.08,421774
2024-01-02 09:33:00,249.0715,249.08,246.3,246.44,819170
2024-01-02 09:34:00,246.4699,246.5043,245.01,245.1099,650290
2024-01-02 09:35:00,245.075,246.73,245.0349,246.73,708020
2024-01-02 09:36:00,246.735,246.78,246.0945,246.325,492908
2024-01-02 09:37:00,246.3,247.44,246.3,247.355,558914
2024-01-02 09:38:00,247.335,247.73,246.12,246.605,489450
2024-01-02 09:39:00,246.64,247.12,246.27,246.42,340132
2024-01-02 09:40:00,246.43,246.46,245.7,246.06,486568
2024-01-02 09:41:00,246.06,246.35,245.2,245.3406,503359
2024-01-02 09:42:00,245.2601,245.3199,244.41,245.09,823866
2024-01-02 09:43:00,245.09,245.33,244.54,244.93,444030
2024-01-02 09:44:00,244.89,245.99,244.89,245.9001,469513
2024-01-02 09:45:00,245.93,246.49,245.75,246.17,486106
2024-01-02 09:46:00,246.19,247.04,246.18,246.6136,500713
2024-01-02 09:47:00,246.59,247.27,246.54,246.64,439972
2024-01-02 09:48:00,246.6335,246.89,246.0,246.5099,310353
2024-01-02 09:49:00,246.51,246.9399,245.82,245.93,358082
2024-01-02 09:50:00,245.95,246.81,245.7,246.7732,463844
2024-01-02 09:51:00,246.87,247.8699,246.76,247.8199,703565
2024-01-02 09:52:00,247.82,248.59,247.82,248.2613,668607
2024-01-02 09:53:00,248.265,248.3,247.6001,247.8844,307339
2024-01-02 09:54:00,247.89,247.966,247.5143,247.7449,240237
2024-01-02 09:55:00,247.69,248.49,247.67,247.845,447620
2024-01-02 09:56:00,247.8196,247.965,246.95,247.02,434232
2024-01-02 09:57:00,247.0699,248.38,247.0,248.3283,432640
2024-01-02 09:58:00,248.307,248.7987,248.25,248.5,614818
2024-01-02 09:59:00,248.495,248.81,248.17,248.794,322968
2024-01-02 10:00:00,248.78,249.63,248.6507,249.62,674593
2024-01-02 10:01:00,249.63,249.7582,249.15,249.64,427916
2024-01-02 10:02:00,249.6261,249.89,249.3,249.36,470732
2024-01-02 10:03:00,249.3526,250.05,249.26,249.74,519959
2024-01-02 10:04:00,249.7101,249.9899,249.4483,249.5991,263868
2024-01-02 10:05:00,249.58,249.75,249.05,249.315,364328
2024-01-02 10:06:00,249.3391,249.9799,249.11,249.7779,404724
2024-01-02 10:07:00,249.745,249.83,249.35,249.5797,211130
2024-01-02 10:08:00,249.5707,249.8,248.8601,249.17,432906
2024-01-02 10:09:00,249.17,249.9699,249.17,249.82,440218
2024-01-02 10:10:00,249.85,250.08,249.07,249.165,432413
2024-01-02 10:11:00,249.2,249.46,248.89,248.9989,394080
2024-01-02 10:12:00,248.99,249.81,248.96,249.7799,351313
2024-01-02 10:13:00,249.7528,249.87,249.49,249.5735,302185
2024-01-02 10:14:00,249.5913,249.7,248.78,249.0899,356187
2024-01-02 10:15:00,249.027,249.027,248.5,248.7924,306510
2024-01-02 10:16:00,248.71,248.9699,248.21,248.265,241457
2024-01-02 10:17:00,248.25,248.62,248.11,248.3255,314030
2024-01-02 10:18:00,248.2994,248.6299,248.05,248.28,266631
2024-01-02 10:19:00,248.2656,248.99,248.25,248.7801,323376
2024-01-02 10:20:00,248.8,249.5679,248.69,249.14,418262
2024-01-02 10:21:00,249.14,249.9,249.07,249.67,423291
2024-01-02 10:22:00,249.6628,250.21,249.66,249.88,469787
2024-01-02 10:23:00,249.89,250.38,249.62,250.24,380870
2024-01-02 10:24:00,250.2141,251.2328,250.2141,251.025,731205
2024-01-02 10:25:00,251.04,251.25,250.45,250.51,392996
2024-01-02 10:26:00,250.4858,250.789,249.92,250.0,472207
2024-01-02 10:27:00,250.0,250.1757,249.63,249.68,336284
2024-01-02 10:28:00,249.7039,249.86,249.4,249.492,334755
2024-01-02 10:29:00,249.53,249.9099,249.51,249.61,255326
2024-01-02 10:30:00,249.6,249.6382,248.81,249.01,438682
2024-01-02 10:31:00,248.9978,249.0899,248.011,248.03,489112
2024-01-02 10:32:00,248.0137,248.65,248.0137,248.5399,378818
2024-01-02 10:33:00,248.51,248.654,248.31,248.5755,242724
2024-01-02 10:34:00,248.59,248.9297,248.4301,248.525,377306
2024-01-02 10:35:00,248.55,248.56,247.88,248.0701,350785
2024-01-02 10:36:00,248.095,248.11,247.5,247.75,348147
2024-01-02 10:37:00,247.73,247.83,247.26,247.46,276505
2024-01-02 10:38:00,247.46,247.63,246.82,246.94,399985
2024-01-02 10:39:00,247.0,247.5,246.91,247.37,317824
2024-01-02 10:40:00,247.38,247.7,247.2901,247.57,289592
2024-01-02 10:41:00,247.57,247.86,247.3623,247.422,298982
2024-01-02 10:42:00,247.42,248.06,247.41,247.98,294221
2024-01-02 10:43:00,247.98,248.05,247.75,247.935,196529
2024-01-02 10:44:00,247.94,248.45,247.935,248.15,365828
2024-01-02 10:45:00,248.15,248.45,247.85,248.345,308469
2024-01-02 10:46:00,248.345,248.4,247.83,247.8335,236858
2024-01-02 10:47:00,247.83,248.37,247.78,248.3035,216043
2024-01-02 10:48:00,248.305,248.66,248.28,248.5,396787
2024-01-02 10:49:00,248.515,248.62,247.9,247.9101,283760
2024-01-02 10:50:00,247.9132,248.3999,247.88,248.2591,259641
2024-01-02 10:51:00,248.28,249.0,248.28,248.92,387259
2024-01-02 10:52:00,248.9151,248.9973,248.42,248.51,259246
2024-01-02 10:53:00,248.45,248.9,248.42,248.5213,195341
2024-01-02 10:54:00,248.52,248.9662,248.52,248.9146,181331
2024-01-02 10:55:00,248.915,249.35,248.64,249.2399,290174
2024-01-02 10:56:00,249.197,249.25,249.03,249.1999,242241
2024-01-02 10:57:00,249.1651,249.2,248.61,248.6116,252693
2024-01-02 10:58:00,248.6059,248.8599,248.5,248.6,220671
2024-01-02 10:59:00,248.5742,248.98,248.5742,248.92,168301
2024-01-02 11:00:00,248.9,249.05,248.71,248.8397,201116
2024-01-02 11:01:00,248.88,249.2,248.64,248.65,270343
2024-01-02 11:02:00,248.62,248.77,248.5,248.6508,108274
2024-01-02 11:03:00,248.6354,248.72,248.34,248.57,196628
2024-01-02 11:04:00,248.5715,249.1699,248.54,249.12,253296
2024-01-02 11:05:00,249.135,249.27,248.88,249.02,215382
2024-01-02 11:06:00,249.0,249.14,248.9,249.134,115949
2024-01-02 11:07:00,249.115,249.19,248.9,249.03,163667
2024-01-02 11:08:00,249.0839,249.57,249.0001,249.5424,225305
2024-01-02 11:09:00,249.56,249.6299,249.31,249.34,183065
2024-01-02 11:10:00,249.365,249.735,249.27,249.675,237545
2024-01-02 11:11:00,249.7001,250.04,249.69,249.88,407637
2024-01-02 11:12:00,249.89,249.93,249.74,249.82,135034
2024-01-02 11:13:00,249.76,249.84,249.4901,249.81,193271
2024-01-02 11:14:00,249.84,249.96,249.7801,249.8601,210792
2024-01-02 11:15:00,249.875,249.95,249.6186,249.87,174510
2024-01-02 11:16:00,249.84,249.92,249.57,249.61,147479
2024-01-02 11:17:00,249.6,249.68,249.31,249.46,156497
2024-01-02 11:18:00,249.4,249.6699,249.35,249.46,144184
2024-01-02 11:19:00,249.4547,249.8699,249.45,249.83,150413
2024-01-02 11:20:00,249.825,250.07,249.78,249.8743,261060
2024-01-02 11:21:00,249.87,250.0599,249.84,249.9101,161901
2024-01-02 11:22:00,249.929,250.26,249.75,249.76,336775
2024-01-02 11:23:00,249.785,249.88,249.5501,249.685,173346
